Date, Open, High, Low, Close
09/28/21, 34747.70, 34798.21, 34254.65, 34299.99
09/27/21, 34739.27, 35061.12, 34739.27, 34869.37
09/24/21, 34762.31, 34857.06, 34648.08, 34798.00
09/23/21, 34296.30, 34879.78, 34296.30, 34764.82
09/22/21, 34006.87, 34440.42, 34006.87, 34258.32
09/21/21, 34025.61, 34313.88, 33914.02, 33919.84
09/20/21, 34459.72, 34459.72, 33613.03, 33970.47
09/17/21, 34737.86, 34779.86, 34519.63, 34584.88
09/16/21, 34810.27, 34943.55, 34540.11, 34751.32
09/15/21, 34580.95, 34880.77, 34522.03, 34814.39
09/14/21, 34906.90, 34990.36, 34510.30, 34577.57
09/13/21, 34665.50, 34939.10, 34665.50, 34869.63
09/10/21, 34949.59, 35104.25, 34599.61, 34607.72
09/09/21, 35013.08, 35199.89, 34847.30, 34879.38
09/08/21, 35087.45, 35175.15, 34925.61, 35031.07
09/07/21, 35373.24, 35373.24, 35060.90, 35100.00
09/03/21, 35401.73, 35422.71, 35269.40, 35369.09
09/02/21, 35353.06, 35475.40, 35348.48, 35443.82
09/01/21, 35387.55, 35407.37, 35287.05, 35312.53
08/31/21, 35391.38, 35449.79, 35289.86, 35360.73
08/30/21, 35471.80, 35510.71, 35374.46, 35399.84
08/27/21, 35231.11, 35479.18, 35231.11, 35455.80
08/26/21, 35449.68, 35498.45, 35205.10, 35213.12
08/25/21, 35388.77, 35501.14, 35287.63, 35405.50
08/24/21, 35382.72, 35445.47, 35356.18, 35366.26
08/23/21, 35160.97, 35428.91, 35160.97, 35335.71
08/20/21, 34917.96, 35177.26, 34867.07, 35120.08
08/19/21, 34874.67, 34997.81, 34690.25, 34894.12
08/18/21, 35310.20, 35356.80, 34943.41, 34960.69
08/17/21, 35500.01, 35500.01, 35120.31, 35343.28
08/16/21, 35490.83, 35631.19, 35231.87, 35625.40
08/13/21, 35551.56, 35610.57, 35474.78, 35515.38
08/12/21, 35481.94, 35510.77, 35352.53, 35499.85
08/11/21, 35300.89, 35501.16, 35300.89, 35484.97
08/10/21, 35135.17, 35285.16, 35091.91, 35264.67
08/09/21, 35229.67, 35229.67, 35041.24, 35101.85
08/06/21, 35077.44, 35246.79, 35077.44, 35208.51
08/05/21, 34815.61, 35067.54, 34815.61, 35064.25
08/04/21, 35047.44, 35047.44, 34790.62, 34792.67
08/03/21, 34864.10, 35120.94, 34714.33, 35116.40
08/02/21, 34968.56, 35192.11, 34808.20, 34838.16
07/30/21, 35013.26, 35106.30, 34871.13, 34935.47
